검색조건
대출기간,2024-01-01 ~ 2024-10-29
성별,전체
연령,전체
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-10-30
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"46","흔한남매 과학 탐험대","원작: 흔한남매 ;이태영","김영사","2021","1","9788934989257","77400","400","18,339",
"47","나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기 ","패트릭 브링리 지음 ;조현주 옮김","웅진씽크빅","2023","","9788901276533","03840","848","18,276",
"48","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","1","9791168412248","74810","813.5","18,221",
"49","바다가 들리는 편의점 ","마치다 소노코 지음 ;황국영 옮김","바이포엠 스튜디오","2023","","9791192579504","03830","833.6","18,172",
"50","지구 끝의 온실 :김초엽 장편소설 ","지은이: 김초엽","Giant Books(자이언트북스)","2021","","9791191824001","03810","813.7","18,153",
"51","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","3","9791168415034","74810","813.5","17,900",
"52","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","15","9791168417199","77810","810","17,898",
"53","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","2","9791168413955","74810","813.5","17,887",
"54","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","4","9791168416314","74810","813.5","17,874",
"55","퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명 ","벤저민 하디 지음 ;최은아 옮김","상상스퀘어","2023","","9791192389325","03320","325.211","17,870",
"56","흔한남매 과학 탐험대","원작: 흔한남매 ;이태영","김영사","2021","8","9788934979814","77400","400","17,809",
"57","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","4","9788936448134","74810","813.7","17,748",
"58","흔한남매 과학 탐험대","원작: 흔한남매 ;이태영","김영사","2021","7","9788934944546","77400","400","17,717",
"59","순례 주택 :유은실 소설 ","지은이: 유은실","비룡소","2021","","9788949123493","44800","813.7","17,637",
"60","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","10","9791168415539","77490","472","17,386",
"61","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","10","9791168416598","77400","400","17,012",
"62","흔한남매 과학 탐험대 3 : 인체","흔한남매 (원작), 이재국, 이현진, 서지은 (글), 김덕영 (그림), 정현철, 김희목, 권경아, 최진수, 박준건 (기획)","주니어김영사","2021","3","9788934983439","","","16,964",
"63","흔한남매 과학 탐험대 4 : 물질","흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 최진수 (감수), 정현철, 김희목, 권경아, 최진수 (기획)","주니어김영사","2022","4","9788934930549","","","16,948",
"64","돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ","지은이: 김승호","Snowfox(스노우폭스북스)","2020","","9791188331796","03320","327.04","16,903",
"65","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","슈크림북","2021","1","9791190409124","74810","813.7","16,777",
"66","흔한남매 과학 탐험대 5 : 물리 1","흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)","주니어김영사","2022","5","9788934940753","","","16,667",
"67","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","슈크림북","2021","5","9791190409384","74810","813.7","16,620",
"68","도시와 그 불확실한 벽 :무라카미 하루키 장편소설 ","지은이: 무라카미 하루키 ;옮긴이: 홍은주","문학동네","2023","","9788954699075","03830","833.6","16,604",
"69","달러구트 꿈 백화점 :이미예 장편소설","지은이: 이미예","팩토리나인","2021","2","9791165343729","03810","813.7","16,573",
"70","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","1","9791195794799","74910","911","16,507",
